full_date,day_of_week_en,day,month_en,year,country,holiday_name,season
10/6/2015,Tuesday,6,October,2015,Slovakia,Dukla Pass Victims Day,Observance
10/27/2015,Tuesday,27,October,2015,Slovakia,<U+010C>ernov<U+00E1> Tragedy Day,Observance
10/28/2015,Wednesday,28,October,2015,Slovakia,Establishment of the Independent Czecho-Slovak State,Observance
10/29/2015,Thursday,29,October,2015,Slovakia,Birth of <U+013D>udov<U+00ED>t <U+015C>t<U+00FA>r Day,Observance
10/30/2015,Friday,30,October,2015,Slovakia,Anniversary of the Declaration of the Slovak Nation,Observance
10/31/2015,Saturday,31,October,2015,Slovakia,Reformation Day,Observance
11/1/2015,Sunday,1,November,2015,Slovakia,All Saints' Day,National holiday
11/17/2015,Tuesday,17,November,2015,Slovakia,Fight for Freedom and Democracy Day,National holiday
12/22/2015,Tuesday,22,December,2015,Slovakia,December Solstice,Season
12/24/2015,Thursday,24,December,2015,Slovakia,Christmas Eve,National holiday
12/25/2015,Friday,25,December,2015,Slovakia,Christmas Day,National holiday
12/26/2015,Saturday,26,December,2015,Slovakia,St. Stephen's Day,National holiday
12/30/2015,Wednesday,30,December,2015,Slovakia,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
1/1/2015,Thursday,1,January,2015,Slovenia,New Year's Day,National holiday
2/8/2015,Sunday,8,February,2015,Slovenia,Pre<U+0161>eren Day,National holiday
3/20/2015,Friday,20,March,2015,Slovenia,March Equinox,Season
4/5/2015,Sunday,5,April,2015,Slovenia,Easter Sunday,National holiday
4/6/2015,Monday,6,April,2015,Slovenia,Easter Monday,National holiday
4/27/2015,Monday,27,April,2015,Slovenia,Day of Uprising Against Occupation,National holiday
5/1/2015,Friday,1,May,2015,Slovenia,Labor Day / May Day,National holiday
5/2/2015,Saturday,2,May,2015,Slovenia,Labour Day holiday,National holiday
5/24/2015,Sunday,24,May,2015,Slovenia,Whit Sunday,National holiday
6/21/2015,Sunday,21,June,2015,Slovenia,June Solstice,Season
6/25/2015,Thursday,25,June,2015,Slovenia,Statehood Day,National holiday
8/15/2015,Saturday,15,August,2015,Slovenia,Assumption of Mary,National holiday
8/17/2015,Monday,17,August,2015,Slovenia,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
9/15/2015,Tuesday,15,September,2015,Slovenia,Restoration of Primorska to the Motherland Day,Observance
9/23/2015,Wednesday,23,September,2015,Slovenia,September Equinox,Season
10/25/2015,Sunday,25,October,2015,Slovenia,Sovereignty Day,Observance
10/31/2015,Saturday,31,October,2015,Slovenia,Reformation Day,National holiday
11/1/2015,Sunday,1,November,2015,Slovenia,Remembrance Day,National holiday
11/23/2015,Monday,23,November,2015,Slovenia,Rudolf Maister Day,Observance
12/22/2015,Tuesday,22,December,2015,Slovenia,December Solstice,Season
12/25/2015,Friday,25,December,2015,Slovenia,Christmas Day,National holiday
12/26/2015,Saturday,26,December,2015,Slovenia,Independence and Unity Day,National holiday
1/1/2015,Thursday,1,January,2015,Solomon Islands,New Year's Day,Public Holiday
2/25/2015,Wednesday,25,February,2015,Solomon Islands,Choiseul Province Day,Local holiday
3/21/2015,Saturday,21,March,2015,Solomon Islands,March Equinox,Season
4/3/2015,Friday,3,April,2015,Solomon Islands,Good Friday,Public Holiday
4/4/2015,Saturday,4,April,2015,Solomon Islands,Holy Saturday,Public Holiday
4/5/2015,Sunday,5,April,2015,Solomon Islands,Easter Sunday,Observance
4/6/2015,Monday,6,April,2015,Solomon Islands,Easter Monday,Public Holiday
5/25/2015,Monday,25,May,2015,Solomon Islands,Whit Monday,Public Holiday
6/2/2015,Tuesday,2,June,2015,Solomon Islands,Isabel Province Day,Local holiday
6/8/2015,Monday,8,June,2015,Solomon Islands,Temotu Province Day,Local holiday
6/12/2015,Friday,12,June,2015,Solomon Islands,Day off for Queen's Official Birthday,Public Holiday
6/13/2015,Saturday,13,June,2015,Solomon Islands,Queen's Official Birthday,Observance
6/22/2015,Monday,22,June,2015,Solomon Islands,June Solstice,Season
6/29/2015,Monday,29,June,2015,Solomon Islands,Central Province Day,Local holiday
7/7/2015,Tuesday,7,July,2015,Solomon Islands,Independence Day,Public Holiday
7/20/2015,Monday,20,July,2015,Solomon Islands,Rennell and Bellona Province Day,Local holiday
8/1/2015,Saturday,1,August,2015,Solomon Islands,Gualdalcanal Province Day,Local holiday
8/3/2015,Monday,3,August,2015,Solomon Islands,Makira-Ulawa Province Day,Local holiday
8/15/2015,Saturday,15,August,2015,Solomon Islands,Malaita Province Day,Local holiday
9/23/2015,Wednesday,23,September,2015,Solomon Islands,September Equinox,Season
12/7/2015,Monday,7,December,2015,Solomon Islands,Western Province Day,Local holiday
12/22/2015,Tuesday,22,December,2015,Solomon Islands,December Solstice,Season
12/25/2015,Friday,25,December,2015,Solomon Islands,Christmas Day,Public Holiday
12/26/2015,Saturday,26,December,2015,Solomon Islands,National Day of Thanksgiving,Public Holiday
1/1/2015,Thursday,1,January,2015,Somalia,New Year,Public Holiday
1/3/2015,Saturday,3,January,2015,Somalia,The Prophet's Birthday,Public Holiday
3/21/2015,Saturday,21,March,2015,Somalia,March Equinox,Season
5/1/2015,Friday,1,May,2015,Somalia,May Day,Public Holiday
5/16/2015,Saturday,16,May,2015,Somalia,Isra and Mi'raj,Common local holiday
5/18/2015,Monday,18,May,2015,Somalia,Restoration of Somaliland Sovereignty,Common local holiday
5/19/2015,Tuesday,19,May,2015,Somalia,Restoration of Somaliland Sovereignty Holiday,Common local holiday
6/21/2015,Sunday,21,June,2015,Somalia,June Solstice,Season
6/26/2015,Friday,26,June,2015,Somalia,Independence Day,Observance
7/1/2015,Wednesday,1,July,2015,Somalia,Republic Day,Common local holiday
7/18/2015,Saturday,18,July,2015,Somalia,Eid al-Fitr,Public Holiday
9/23/2015,Wednesday,23,September,2015,Somalia,September Equinox,Season
9/24/2015,Thursday,24,September,2015,Somalia,Eid al-Adha,Public Holiday
10/15/2015,Thursday,15,October,2015,Somalia,Muharram,Common local holiday
10/24/2015,Saturday,24,October,2015,Somalia,Ashura,Common local holiday
12/22/2015,Tuesday,22,December,2015,Somalia,December Solstice,Season
12/24/2015,Thursday,24,December,2015,Somalia,The Prophet's Birthday,Public Holiday
1/1/2015,Thursday,1,January,2015,South Africa,New Year's Day,Public Holiday
1/3/2015,Saturday,3,January,2015,South Africa,Milad un Nabi (Mawlid),Muslim
2/17/2015,Tuesday,17,February,2015,South Africa,Maha Shivaratri,Hindu Holiday
3/6/2015,Friday,6,March,2015,South Africa,Holi,Hindu Holiday
3/21/2015,Saturday,21,March,2015,South Africa,March Equinox,Season
3/21/2015,Saturday,21,March,2015,South Africa,Human Rights Day,Public Holiday
4/3/2015,Friday,3,April,2015,South Africa,Good Friday,Public Holiday
4/4/2015,Saturday,4,April,2015,South Africa,Holy Saturday,Observance
4/5/2015,Sunday,5,April,2015,South Africa,Easter Sunday,Observance
4/6/2015,Monday,6,April,2015,South Africa,Family Day,Public Holiday
4/27/2015,Monday,27,April,2015,South Africa,Freedom Day,Public Holiday
5/1/2015,Friday,1,May,2015,South Africa,Workers' Day,Public Holiday
5/10/2015,Sunday,10,May,2015,South Africa,Mother's Day,Observance
5/14/2015,Thursday,14,May,2015,South Africa,Ascension Day,Observance
5/16/2015,Saturday,16,May,2015,South Africa,Isra and Mi'raj,Muslim
5/24/2015,Sunday,24,May,2015,South Africa,Pentecost,Observance
6/15/2015,Monday,15,June,2015,South Africa,School holiday,Observance
6/16/2015,Tuesday,16,June,2015,South Africa,Youth Day,Public Holiday
6/21/2015,Sunday,21,June,2015,South Africa,June Solstice,Season
6/21/2015,Sunday,21,June,2015,South Africa,Father's Day,Observance
7/13/2015,Monday,13,July,2015,South Africa,Laylatul Qadr (Night of Power),Muslim
7/18/2015,Saturday,18,July,2015,South Africa,Eid ul Fitr,Muslim
7/18/2015,Saturday,18,July,2015,South Africa,Nelson Mandela Day,Observance
8/9/2015,Sunday,9,August,2015,South Africa,National Women's Day,Public Holiday
8/10/2015,Monday,10,August,2015,South Africa,School holiday,Observance
8/10/2015,Monday,10,August,2015,South Africa,National Women's Day observed,Public Holiday
8/29/2015,Saturday,29,August,2015,South Africa,Raksha Bandhan,Hindu Holiday
9/4/2015,Friday,4,September,2015,South Africa,Janmashtami,Hindu Holiday
9/17/2015,Thursday,17,September,2015,South Africa,Ganesh Chaturthi,Hindu Holiday
9/23/2015,Wednesday,23,September,2015,South Africa,September Equinox,Season
9/24/2015,Thursday,24,September,2015,South Africa,Eid ul Adha,Muslim
9/24/2015,Thursday,24,September,2015,South Africa,Heritage Day,Public Holiday
9/25/2015,Friday,25,September,2015,South Africa,School holiday,Observance
10/13/2015,Tuesday,13,October,2015,South Africa,Navaratri,Hindu Holiday
10/15/2015,Thursday,15,October,2015,South Africa,Muharram/Islamic New Year,Muslim
10/22/2015,Thursday,22,October,2015,South Africa,Dussehra,Hindu Holiday
11/1/2015,Sunday,1,November,2015,South Africa,All Saints' Day,Observance
12/16/2015,Wednesday,16,December,2015,South Africa,Day of Reconciliation,Public Holiday
12/22/2015,Tuesday,22,December,2015,South Africa,December Solstice,Season
12/24/2015,Thursday,24,December,2015,South Africa,Milad un Nabi (Mawlid),Muslim
12/24/2015,Thursday,24,December,2015,South Africa,Christmas Eve,Observance
12/25/2015,Friday,25,December,2015,South Africa,Christmas Day,Public Holiday
12/26/2015,Saturday,26,December,2015,South Africa,Day of Goodwill,Public Holiday
12/31/2015,Thursday,31,December,2015,South Africa,New Year's Eve,Observance
1/1/2015,Thursday,1,January,2015,South Korea,New Year's Day,Public Holiday
2/18/2015,Wednesday,18,February,2015,South Korea,Seollal Holiday,Public Holiday
2/19/2015,Thursday,19,February,2015,South Korea,Seollal,Public Holiday
2/20/2015,Friday,20,February,2015,South Korea,Seollal Holiday,Public Holiday
3/1/2015,Sunday,1,March,2015,South Korea,Independence Movement Day,National holiday
3/21/2015,Saturday,21,March,2015,South Korea,March Equinox,Season
4/5/2015,Sunday,5,April,2015,South Korea,Arbor Day,Observance
5/1/2015,Friday,1,May,2015,South Korea,Labor Day,Bank Holiday
5/5/2015,Tuesday,5,May,2015,South Korea,Children's Day,Public Holiday
5/8/2015,Friday,8,May,2015,South Korea,Parents' Day,Observance
5/15/2015,Friday,15,May,2015,South Korea,Teacher's Day,Observance
5/25/2015,Monday,25,May,2015,South Korea,Buddha's Birthday,Public Holiday
6/6/2015,Saturday,6,June,2015,South Korea,Memorial Day,Public Holiday
6/22/2015,Monday,22,June,2015,South Korea,June Solstice,Season
7/17/2015,Friday,17,July,2015,South Korea,Constitution Day,Observance
8/14/2015,Friday,14,August,2015,South Korea,Liberation Day,National holiday
8/15/2015,Saturday,15,August,2015,South Korea,Liberation Day,National holiday
9/23/2015,Wednesday,23,September,2015,South Korea,September Equinox,Season
9/26/2015,Saturday,26,September,2015,South Korea,Chuseok Holiday,Public Holiday
9/27/2015,Sunday,27,September,2015,South Korea,Chuseok,Public Holiday
9/28/2015,Monday,28,September,2015,South Korea,Chuseok Holiday,Public Holiday
9/29/2015,Tuesday,29,September,2015,South Korea,Chuseok Holiday,Public Holiday
10/1/2015,Thursday,1,October,2015,South Korea,Armed Forces Day,Observance
10/3/2015,Saturday,3,October,2015,South Korea,National Foundation Day,National holiday
10/9/2015,Friday,9,October,2015,South Korea,Hangeul Proclamation Day,National holiday
12/22/2015,Tuesday,22,December,2015,South Korea,December Solstice,Season
12/24/2015,Thursday,24,December,2015,South Korea,Christmas Eve,Observance
12/25/2015,Friday,25,December,2015,South Korea,Christmas Day,Public Holiday
12/31/2015,Thursday,31,December,2015,South Korea,New Year's Eve,Observance
1/1/2015,Thursday,1,January,2015,South Sudan,New Year,Public Holiday
1/9/2015,Friday,9,January,2015,South Sudan,Peace Agreement Day,Public Holiday
2/14/2015,Saturday,14,February,2015,South Sudan,Valentine's Day,Observance
3/8/2015,Sunday,8,March,2015,South Sudan,International Women's Day,Observance
3/21/2015,Saturday,21,March,2015,South Sudan,March Equinox,Season
4/5/2015,Sunday,5,April,2015,South Sudan,Easter Sunday,Public Holiday
5/1/2015,Friday,1,May,2015,South Sudan,May Day,Public Holiday
5/16/2015,Saturday,16,May,2015,South Sudan,SPLA Day,Public Holiday
6/14/2015,Sunday,14,June,2015,South Sudan,Father's Day,Observance
6/21/2015,Sunday,21,June,2015,South Sudan,June Solstice,Season
7/6/2015,Monday,6,July,2015,South Sudan,Mother's Day,Observance
7/9/2015,Thursday,9,July,2015,South Sudan,Independence Day,Public Holiday
7/18/2015,Saturday,18,July,2015,South Sudan,Eid al-Fitr,Public Holiday
7/30/2015,Thursday,30,July,2015,South Sudan,Martyrs Day,Public Holiday
9/23/2015,Wednesday,23,September,2015,South Sudan,September Equinox,Season
9/24/2015,Thursday,24,September,2015,South Sudan,Eid al-Adha,Public Holiday
11/8/2015,Sunday,8,November,2015,South Sudan,Grandparents' Day,Observance
12/22/2015,Tuesday,22,December,2015,South Sudan,December Solstice,Season
12/25/2015,Friday,25,December,2015,South Sudan,Christmas Day,Public Holiday
12/28/2015,Monday,28,December,2015,South Sudan,Republic Day,Observance
12/31/2015,Thursday,31,December,2015,South Sudan,New Year's Eve,Observance
1/1/2015,Thursday,1,January,2015,Spain,New Year's Day,National holiday
1/2/2015,Friday,2,January,2015,Spain,Reconquest Day, 
1/6/2015,Tuesday,6,January,2015,Spain,Epiphany,Local holiday
1/22/2015,Thursday,22,January,2015,Spain,Martyr Vicente's Feast,Granada
1/29/2015,Thursday,29,January,2015,Spain,St. Valero's Feast,National holiday
2/12/2015,Thursday,12,February,2015,Spain,St. Eul<U+00E0>lia's Feast, 
2/14/2015,Saturday,14,February,2015,Spain,Valentine's Day,Local holiday
2/18/2015,Wednesday,18,February,2015,Spain,Ash Wednesday,Valencia
2/28/2015,Saturday,28,February,2015,Spain,Day of Andaluc<U+00ED>a,Local holiday
3/1/2015,Sunday,1,March,2015,Spain,Day of the Balearic Islands,Zaragoza
3/5/2015,Thursday,5,March,2015,Spain,Fifth of March,Local holiday
3/19/2015,Thursday,19,March,2015,Spain,San Jose,Barcelona
3/20/2015,Friday,20,March,2015,Spain,March Equinox,Observance
3/20/2015,Friday,20,March,2015,Spain,San Jose, 
3/29/2015,Sunday,29,March,2015,Spain,Daylight Saving Time starts,Observance
3/29/2015,Sunday,29,March,2015,Spain,Palm Sunday, 
4/2/2015,Thursday,2,April,2015,Spain,Maundy Thursday,Local holiday
4/3/2015,Friday,3,April,2015,Spain,Good Friday,Andalusia
4/5/2015,Sunday,5,April,2015,Spain,Easter Sunday,Local holiday
4/6/2015,Monday,6,April,2015,Spain,Easter Monday,Balearic Islands
4/23/2015,Thursday,23,April,2015,Spain,Day of Arag<U+00F3>n,Local holiday
4/23/2015,Thursday,23,April,2015,Spain,St George's Day,Zaragoza
4/23/2015,Thursday,23,April,2015,Spain,Castile and Le<U+00F3>n Day,Common local holiday
5/1/2015,Friday,1,May,2015,Spain,Labor Day / May Day,"CM, M, ML, MU, NA, PV, VC"
5/2/2015,Saturday,2,May,2015,Spain,Day of Madrid,Season
5/3/2015,Sunday,3,May,2015,Spain,Mothers' Day, 
5/15/2015,Friday,15,May,2015,Spain,Feast Day of St Isidore,Local holiday
5/17/2015,Sunday,17,May,2015,Spain,Galicia Literature Day,Galicia
5/24/2015,Sunday,24,May,2015,Spain,Whit Sunday/Pentecost,Clock change/Daylight Saving Time
5/30/2015,Saturday,30,May,2015,Spain,Day of the Canary Islands, 
5/31/2015,Sunday,31,May,2015,Spain,Day of Castile-La Mancha,Observance
6/1/2015,Monday,1,June,2015,Spain,Whit Monday, 
6/4/2015,Thursday,4,June,2015,Spain,Corpus Christi,Common local holiday
6/9/2015,Tuesday,9,June,2015,Spain,Day of Murcia,15 states
6/9/2015,Tuesday,9,June,2015,Spain,Day of La Rioja,National holiday
6/13/2015,Saturday,13,June,2015,Spain,San Antonio, 
6/21/2015,Sunday,21,June,2015,Spain,June Solstice,Observance
6/24/2015,Wednesday,24,June,2015,Spain,Saint John the Baptist Day, 
7/24/2015,Friday,24,July,2015,Spain,Festa da Dorna,Common local holiday
7/25/2015,Saturday,25,July,2015,Spain,Feast of Saint James the Apostle,"CT, LO, NA, PV, S, VC"
7/28/2015,Tuesday,28,July,2015,Spain,Day of the Institutions,Local holiday
8/5/2015,Wednesday,5,August,2015,Spain,The Day of Our Lady of Africa,Aragon
8/9/2015,Sunday,9,August,2015,Spain,The Day of Cantabria,Local observance
8/15/2015,Saturday,15,August,2015,Spain,Assumption of Mary,Catalonia
8/29/2015,Saturday,29,August,2015,Spain,St. Isabel's Feast,Local holiday
9/2/2015,Wednesday,2,September,2015,Spain,Day of the Independent City of Ceuta,Castile-Leon
9/8/2015,Tuesday,8,September,2015,Spain,Day of Asturias,National holiday
9/8/2015,Tuesday,8,September,2015,Spain,Day of Extremadura, 
9/8/2015,Tuesday,8,September,2015,Spain,Virgin of the Victory,Local holiday
9/11/2015,Friday,11,September,2015,Spain,Day of Catalonia,Madrid
9/15/2015,Tuesday,15,September,2015,Spain,Nuestra Se<U+00F1>ora de la Bien Aparecida,Observance
9/17/2015,Thursday,17,September,2015,Spain,Day of Melilla, 
9/23/2015,Wednesday,23,September,2015,Spain,September Equinox,Local holiday
9/25/2015,Friday,25,September,2015,Spain,Eid al-Adha,Madrid
10/9/2015,Friday,9,October,2015,Spain,Day of the Valencian Community,Local holiday
10/12/2015,Monday,12,October,2015,Spain,Hispanic Day,Galicia
10/25/2015,Sunday,25,October,2015,Spain,Daylight Saving Time ends,Observance
11/1/2015,Sunday,1,November,2015,Spain,All Saints' Day, 
11/2/2015,Monday,2,November,2015,Spain,All Saints' Day observed,Local holiday
12/3/2015,Thursday,3,December,2015,Spain,Day of Navarre,Canary Islands
12/6/2015,Sunday,6,December,2015,Spain,Constitution Day,Local holiday
12/7/2015,Monday,7,December,2015,Spain,Constitution Day observed,Castile-La Mancha
12/8/2015,Tuesday,8,December,2015,Spain,Immaculate Conception,Local holiday
12/22/2015,Tuesday,22,December,2015,Spain,December Solstice,Barcelona
12/24/2015,Thursday,24,December,2015,Spain,Christmas Eve,Local holiday
12/25/2015,Friday,25,December,2015,Spain,Christmas Day,Madrid
12/26/2015,Saturday,26,December,2015,Spain,St Stephen's Day,Local holiday
12/27/2015,Sunday,27,December,2015,Spain,Feast of the Holy Family,Murcia
12/31/2015,Thursday,31,December,2015,Spain,New Year's Eve,Local holiday
1/1/2015,Thursday,1,January,2015,Spain,New Year's Day,La Rioja
1/2/2015,Friday,2,January,2015,Spain,Reconquest Day,Local holiday
1/6/2015,Tuesday,6,January,2015,Spain,Epiphany,Ceuta
1/22/2015,Thursday,22,January,2015,Spain,Martyr Vicente's Feast,Season
1/29/2015,Thursday,29,January,2015,Spain,St. Valero's Feast, 
2/12/2015,Thursday,12,February,2015,Spain,St. Eul<U+00E0>lia's Feast,Local holiday
2/14/2015,Saturday,14,February,2015,Spain,Valentine's Day,Catalonia
2/18/2015,Wednesday,18,February,2015,Spain,Ash Wednesday,Local holiday
2/28/2015,Saturday,28,February,2015,Spain,Day of Andaluc<U+00ED>a,Galicia
3/1/2015,Sunday,1,March,2015,Spain,Day of the Balearic Islands,Common local holiday
3/5/2015,Thursday,5,March,2015,Spain,Fifth of March,"CL, CN, GA, LO, M, NA, PV"
3/19/2015,Thursday,19,March,2015,Spain,San Jose,Local holiday
3/20/2015,Friday,20,March,2015,Spain,March Equinox,Cantabria
3/20/2015,Friday,20,March,2015,Spain,San Jose,Local holiday
3/29/2015,Sunday,29,March,2015,Spain,Daylight Saving Time starts,Ceuta
3/29/2015,Sunday,29,March,2015,Spain,Palm Sunday,Local observance
4/2/2015,Thursday,2,April,2015,Spain,Maundy Thursday,Cantabria
4/3/2015,Friday,3,April,2015,Spain,Good Friday,National holiday
4/5/2015,Sunday,5,April,2015,Spain,Easter Sunday, 
4/6/2015,Monday,6,April,2015,Spain,Easter Monday,Local holiday
4/23/2015,Thursday,23,April,2015,Spain,Day of Arag<U+00F3>n,Lugo
4/23/2015,Thursday,23,April,2015,Spain,St George's Day,Local holiday
4/23/2015,Thursday,23,April,2015,Spain,Castile and Le<U+00F3>n Day,Ceuta
5/1/2015,Friday,1,May,2015,Spain,Labor Day / May Day,Local holiday
5/2/2015,Saturday,2,May,2015,Spain,Day of Madrid,Asturias
5/3/2015,Sunday,3,May,2015,Spain,Mothers' Day,Local holiday
5/15/2015,Friday,15,May,2015,Spain,Feast Day of St Isidore,Extremadura
5/17/2015,Sunday,17,May,2015,Spain,Galicia Literature Day,Local holiday
5/24/2015,Sunday,24,May,2015,Spain,Whit Sunday/Pentecost,Melilla
5/30/2015,Saturday,30,May,2015,Spain,Day of the Canary Islands,Local holiday
5/31/2015,Sunday,31,May,2015,Spain,Day of Castile-La Mancha,Catalonia
6/1/2015,Monday,1,June,2015,Spain,Whit Monday,Local holiday
6/4/2015,Thursday,4,June,2015,Spain,Corpus Christi,Cantabria
6/9/2015,Tuesday,9,June,2015,Spain,Day of Murcia,Local holiday
6/9/2015,Tuesday,9,June,2015,Spain,Day of La Rioja,Melilla
6/13/2015,Saturday,13,June,2015,Spain,San Antonio,Season
6/21/2015,Sunday,21,June,2015,Spain,June Solstice, 
6/24/2015,Wednesday,24,June,2015,Spain,Saint John the Baptist Day,Local holiday
7/24/2015,Friday,24,July,2015,Spain,Festa da Dorna,"Ceuta, Melilla"
7/25/2015,Saturday,25,July,2015,Spain,Feast of Saint James the Apostle,Local holiday
7/28/2015,Tuesday,28,July,2015,Spain,Day of the Institutions,Valencia
8/5/2015,Wednesday,5,August,2015,Spain,The Day of Our Lady of Africa,National holiday
8/9/2015,Sunday,9,August,2015,Spain,The Day of Cantabria, 
8/15/2015,Saturday,15,August,2015,Spain,Assumption of Mary,Clock change/Daylight Saving Time
8/29/2015,Saturday,29,August,2015,Spain,St. Isabel's Feast, 
9/2/2015,Wednesday,2,September,2015,Spain,Day of the Independent City of Ceuta,National holiday
9/8/2015,Tuesday,8,September,2015,Spain,Day of Asturias,All
9/8/2015,Tuesday,8,September,2015,Spain,Day of Extremadura,National holiday
9/8/2015,Tuesday,8,September,2015,Spain,Virgin of the Victory,"All except AN, AR, CL, CN, EX, M, ML, O, S"
9/11/2015,Friday,11,September,2015,Spain,Day of Catalonia,Local holiday
9/15/2015,Tuesday,15,September,2015,Spain,Nuestra Se<U+00F1>ora de la Bien Aparecida,Navarre
9/17/2015,Thursday,17,September,2015,Spain,Day of Melilla,National holiday
9/23/2015,Wednesday,23,September,2015,Spain,September Equinox,All
9/25/2015,Friday,25,September,2015,Spain,Eid al-Adha,National holiday
10/9/2015,Friday,9,October,2015,Spain,Day of the Valencian Community,12 states
10/12/2015,Monday,12,October,2015,Spain,Hispanic Day,National holiday
10/25/2015,Sunday,25,October,2015,Spain,Daylight Saving Time ends, 
11/1/2015,Sunday,1,November,2015,Spain,All Saints' Day,Season
11/2/2015,Monday,2,November,2015,Spain,All Saints' Day observed, 
12/3/2015,Thursday,3,December,2015,Spain,Day of Navarre,Observance
12/6/2015,Sunday,6,December,2015,Spain,Constitution Day, 
12/7/2015,Monday,7,December,2015,Spain,Constitution Day observed,National holiday
12/8/2015,Tuesday,8,December,2015,Spain,Immaculate Conception, 
12/22/2015,Tuesday,22,December,2015,Spain,December Solstice,Local holiday
12/24/2015,Thursday,24,December,2015,Spain,Christmas Eve,"B, CT, IB"
12/25/2015,Friday,25,December,2015,Spain,Christmas Day,Observance
12/26/2015,Saturday,26,December,2015,Spain,St Stephen's Day, 
12/27/2015,Sunday,27,December,2015,Spain,Feast of the Holy Family,Observance
12/31/2015,Thursday,31,December,2015,Spain,New Year's Eve, 
1/3/2015,Saturday,3,January,2015,Sri Lanka,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
1/4/2015,Sunday,4,January,2015,Sri Lanka,Duruthu Full Moon Poya Day,Public Holiday
1/4/2015,Sunday,4,January,2015,Sri Lanka,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
1/14/2015,Wednesday,14,January,2015,Sri Lanka,Special Public Holiday,Public Holiday
1/15/2015,Thursday,15,January,2015,Sri Lanka,Tamil Thai Pongal Day,Public Holiday
2/3/2015,Tuesday,3,February,2015,Sri Lanka,Navam Full Moon Poya Day,Public Holiday
2/4/2015,Wednesday,4,February,2015,Sri Lanka,National Day,Public Holiday
2/14/2015,Saturday,14,February,2015,Sri Lanka,Valentine's Day,Observance
2/17/2015,Tuesday,17,February,2015,Sri Lanka,Mahasivarathri Day,Public Holiday
3/5/2015,Thursday,5,March,2015,Sri Lanka,Madin Full Moon Poya Day,Public Holiday
3/5/2015,Thursday,5,March,2015,Sri Lanka,Adhi Madin Full Moon Poya Day,Public Holiday
3/6/2015,Friday,6,March,2015,Sri Lanka,Holi,Hindu Holiday
3/21/2015,Saturday,21,March,2015,Sri Lanka,March Equinox,Season
4/3/2015,Friday,3,April,2015,Sri Lanka,Bak Full Moon Poya Day,Public Holiday
4/3/2015,Friday,3,April,2015,Sri Lanka,Good Friday,Public Holiday
4/5/2015,Sunday,5,April,2015,Sri Lanka,Easter Sunday,Observance
4/13/2015,Monday,13,April,2015,Sri Lanka,Sinhala and Tamil New Year's Eve,Public Holiday
4/14/2015,Tuesday,14,April,2015,Sri Lanka,Sinhala and Tamil New Year's Day,Public Holiday
5/1/2015,Friday,1,May,2015,Sri Lanka,May Day,Public Holiday
5/3/2015,Sunday,3,May,2015,Sri Lanka,Vesak Full Moon Poya Day,Public Holiday
5/4/2015,Monday,4,May,2015,Sri Lanka,Day after Vesak Full Moon Poya Day,Public Holiday
5/10/2015,Sunday,10,May,2015,Sri Lanka,Mother's Day,Observance
6/2/2015,Tuesday,2,June,2015,Sri Lanka,Poson Full Moon Poya Day,Public Holiday
6/21/2015,Sunday,21,June,2015,Sri Lanka,June Solstice,Season
6/21/2015,Sunday,21,June,2015,Sri Lanka,Father's Day,Observance
7/1/2015,Wednesday,1,July,2015,Sri Lanka,Esala Full Moon Poya Day,Public Holiday
7/18/2015,Saturday,18,July,2015,Sri Lanka,Eid al-Fitr,Public Holiday
8/29/2015,Saturday,29,August,2015,Sri Lanka,Raksha Bandhan,Hindu Holiday
8/29/2015,Saturday,29,August,2015,Sri Lanka,Nikini Full Moon Poya Day,Public Holiday
9/5/2015,Saturday,5,September,2015,Sri Lanka,Janmashtami,Hindu Holiday
9/17/2015,Thursday,17,September,2015,Sri Lanka,Ganesh Chaturthi,Hindu Holiday
9/23/2015,Wednesday,23,September,2015,Sri Lanka,September Equinox,Season
9/24/2015,Thursday,24,September,2015,Sri Lanka,Eid al-Adha,Public Holiday
9/27/2015,Sunday,27,September,2015,Sri Lanka,Binara Full Moon Poya Day,Public Holiday
10/14/2015,Wednesday,14,October,2015,Sri Lanka,First Day of Navaratri,Hindu Holiday
10/22/2015,Thursday,22,October,2015,Sri Lanka,Dussehra,Hindu Holiday
10/27/2015,Tuesday,27,October,2015,Sri Lanka,Vap Full Moon Poya Day,Public Holiday
11/10/2015,Tuesday,10,November,2015,Sri Lanka,Deepavali,Public Holiday
11/25/2015,Wednesday,25,November,2015,Sri Lanka,Il Full Moon Poya Day,Public Holiday
12/22/2015,Tuesday,22,December,2015,Sri Lanka,December Solstice,Season
12/24/2015,Thursday,24,December,2015,Sri Lanka,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
12/24/2015,Thursday,24,December,2015,Sri Lanka,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
12/24/2015,Thursday,24,December,2015,Sri Lanka,Unduvap Full Moon Poya Day,Public Holiday
12/24/2015,Thursday,24,December,2015,Sri Lanka,Christmas Eve,Observance
12/25/2015,Friday,25,December,2015,Sri Lanka,Christmas Day,Public Holiday
